Month,Python,Java,JavaScript,C#,Go
2014-12,32,162,109,71,81
2015-01,41,317,195,187,87
2015-02,54,289,206,183,87
2015-03,80,346,276,207,132
2015-04,60,327,215,143,92
2015-05,71,376,289,212,120
2015-06,56,297,245,166,90
2015-07,61,292,215,172,92
2015-08,77,338,269,194,109
2015-09,61,278,210,181,94
2015-10,61,321,210,181,97
2015-11,67,349,276,238,120
2015-12,52,230,162,133,86
2016-01,90,347,277,225,113
2016-02,65,266,201,171,86
2016-03,66,317,235,191,102
2016-04,70,275,237,226,89
2016-05,83,318,270,261,108
2016-06,63,272,271,205,78
2016-07,91,287,291,194,104
2016-08,59,223,225,131,82
2016-09,61,244,224,148,70
2016-10,89,318,336,276,104
2016-11,78,251,265,192,86
2016-12,73,222,264,155,71
2017-01,99,305,299,232,100
2017-02,90,250,260,197,75
2017-03,93,263,272,202,71
2017-04,112,305,312,218,82
2017-05,83,227,246,176,61
2017-06,94,228,237,192,67
2017-07,114,299,318,200,77
2017-08,85,204,216,143,60
2017-09,78,218,220,143,64
2017-10,120,321,320,263,85
2017-11,82,251,264,169,72
2017-12,115,251,246,161,94
2018-01,106,247,249,149,77
2018-02,112,246,251,184,81
2018-03,102,223,246,161,73
2018-04,121,304,287,204,101
2018-05,84,197,223,145,79
2018-06,87,207,231,154,70
2018-07,119,239,286,151,79
2018-08,99,199,207,127,69
2018-09,108,239,260,171,79
2018-10,106,234,231,155,77
2018-11,96,213,202,146,66
2018-12,112,213,207,134,77
2019-01,97,221,206,119,61
2019-02,103,205,211,135,61
2019-03,138,270,256,171,81
2019-04,109,193,190,127,53
2019-05,97,188,201,123,48
2019-06,146,272,279,185,69
2019-07,119,182,208,114,52
2019-08,118,174,191,119,54
2019-09,141,221,269,161,55
2019-10,128,216,232,164,51
2019-11,119,195,226,155,53
2019-12,31,44,51,37,13
